"","Parameter","Eta2_partial","CI","CI_low","CI_high"
"1","APOE",0.293940616876211,0.95,0.201674428907268,1
"2","Sex",0.183670008913892,0.95,0.105023579304008,1
"3","Age_Cat",0.0102813541323955,0.95,0,1
"4","Diet",0.0171852267986902,0.95,0,1
"5","APOE:Sex",0.0149702405632513,0.95,0,1
"6","APOE:Age_Cat",0.0477890835089118,0.95,0.00564429234648871,1
"7","Sex:Age_Cat",0.00605940069672522,0.95,0,1
"8","APOE:Diet",0.0639687508427698,0.95,0.0137528473719314,1
"9","Sex:Diet",0.00119218270217151,0.95,0,1
"10","Age_Cat:Diet",0.0714502192990806,0.95,0.0220917753071041,1
"11","APOE:Sex:Age_Cat",0.00733252027670884,0.95,0,1
"12","APOE:Sex:Diet",0.0147088195248529,0.95,0,1
"13","APOE:Age_Cat:Diet",0.0564471176246682,0.95,0.00978785886737917,1
"14","Sex:Age_Cat:Diet",0.0146379582431401,0.95,0,1
"15","APOE:Sex:Age_Cat:Diet",0.0326386600252173,0.95,0,1
